# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
parser.SCSS.time.ns,1717447615295000000,1717447675279000000,446080308
lexer.ECMAScript.6.size.bytes,1717447615295000000,1717447675279000000,912907
parser.JavaScript.size.bytes,1717447615295000000,1717447675279000000,1232841
lexer.SCSS.time.ns,1717447615295000000,1717447675279000000,72189646
lexer.CSS.time.ns,1717447615295000000,1717447675279000000,588342457
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1717447615295000000,1717447675279000000,0
jps.module.iml.entities.serializer.load.entities.ms,1717447615295000000,1717447675279000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1717447615295000000,1717447675279000000,0
jps.facet.change.listener.before.change.events.ms,1717447615295000000,1717447675279000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1717447615295000000,1717447675279000000,11
jps.module.iml.entities.serializer.save.entities.ms,1717447615295000000,1717447675279000000,0
jps.project.serializers.load.ms,1717447615295000000,1717447675279000000,0
jps.facet.change.listener.process.change.events.ms,1717447615295000000,1717447675279000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1717447615295000000,1717447675279000000,0
jps.library.entities.serializer.load.entities.ms,1717447615295000000,1717447675279000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1717447615295000000,1717447675279000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1717447615295000000,1717447675279000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1717447615295000000,1717447675279000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1717447615295000000,1717447675279000000,0
workspaceModel.sync.entities.ms,1717447615295000000,1717447675279000000,0
jps.reload.project.entities.ms,1717447615295000000,1717447675279000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1717447615295000000,1717447675279000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1717447615295000000,1717447675279000000,0
workspaceModel.mutableEntityStorage.instances.count,1717447615295000000,1717447675279000000,4
jps.load.project.to.empty.storage.ms,1717447615295000000,1717447675279000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1717447615295000000,1717447675279000000,0
jps.facet.change.listener.init.bridge.ms,1717447615295000000,1717447675279000000,0
jps.global.handle.changed.events.ms,1717447615295000000,1717447675279000000,0
workspaceModel.moduleBridge.update.option.ms,1717447615295000000,1717447675279000000,0
workspaceModel.save.cache.to.file.ms,1717447615295000000,1717447675279000000,59
jps.global.handle.before.change.events.ms,1717447615295000000,1717447675279000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1717447615295000000,1717447675279000000,0
jps.apply.loaded.storage.ms,1717447615295000000,1717447675279000000,0
jps.load.initial.state.ms,1717447615295000000,1717447675279000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1717447615295000000,1717447675279000000,0
jps.save.changed.project.entities.ms,1717447615295000000,1717447675279000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1717447615295000000,1717447675279000000,0
jps.save.global.entities.ms,1717447615295000000,1717447675279000000,0
jps.global.get.libraries.ms,1717447615295000000,1717447675279000000,0
jps.app.storage.content.reader.load.component.ms,1717447615295000000,1717447675279000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1717447615295000000,1717447675279000000,0
workspaceModel.orphan.listener.update.ms,1717447615295000000,1717447675279000000,1
jps.global.get.library.ms,1717447615295000000,1717447675279000000,0
workspaceModel.load.cache.metadata.from.file.ms,1717447615295000000,1717447675279000000,0
jps.project.serializers.save.ms,1717447615295000000,1717447675279000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1717447615295000000,1717447675279000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1717447615295000000,1717447675279000000,0
jps.artifact.entities.serializer.save.entities.ms,1717447615295000000,1717447675279000000,0
jps.global.initialize.library.bridges.after.loading.ms,1717447615295000000,1717447675279000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1717447615295000000,1717447675279000000,0
